location,role1,role2,role3,role4,role5,role6,role7
amusement park,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
art museum,art critic,art collector,visitor,security guard,ticket seller,teacher,student,photographer,painter
candy factory,visitor,taster,supply worker,oompa loompa,inspector,truffle maker,madcap redhed,pastry chef
cat show,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
cemetery,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
coal mine,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
construction site,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
gaming convention,exhibitor,cosplayer,gamer,blogger,child,collector,shy person,security guard,geek
gas station,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
harbor docks,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
ice hockey stadium,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
jail,visitor,janitor,criminal,guard,wrongly accused man,correctional officer,jailkeeper,lawyer,cctv operator
jazz club,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
library,volunteer,old man,book fanatic,author,loudmouth,know-it-all,student,librarian,journalist
night club,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
race track,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
retirement home,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
rock concert,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
sightseeing bus,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
stadium,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
subway,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
the u.n.,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
vineyard,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
wedding,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
zoo,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder,placeholder
